symbol,name,currency,exchange,mic_code,country,added_date,deleted_date
EBBETF0430,"Edelweiss Amc Ltd - Edelweiss Mutual Fund - Edelweiss Bharat Bond Exchange Traded Fund, April 2030",INR,NSE,XNSE,India,2023-09-25,
EBBETF0431,EDELAMC - EBBETF0431,INR,NSE,XNSE,India,2023-09-25,
GOLDBEES,Nippon India ETF Gold BeES,INR,NSE,XNSE,India,2023-09-25,
GOLDSHARE,UTI Gold Exchange Traded Scheme,INR,NSE,XNSE,India,2023-09-25,
HDFCMFGETF,HDFC Gold Exchange Traded Fund,INR,NSE,XNSE,India,2023-09-25,
HDFCNIFETF,HDFC Nifty 50 ETF,INR,NSE,XNSE,India,2023-09-25,
HDFCSENETF,HDFC Sensex ETF,INR,NSE,XNSE,India,2023-09-25,
HEALTHY,Aditya Birla Sun Life Amc Ltd. - Absl Mutual Fund - Absl Nifty Healthcare Etf,INR,NSE,XNSE,India,2023-09-25,
HNGSNGBEES,Nippon India ETF Hang Seng BeES,INR,NSE,XNSE,India,2023-09-25,
IBMFNIFTY,Indiabulls Mutual Fund - Indiabulls Nifty 50 Exchange Traded Fund,INR,NSE,XNSE,India,2023-09-25,
ICICI500,ICICI Prudential S&P BSE 500 ETF,INR,NSE,XNSE,India,2023-09-25,
ICICIALPLV,ICICI Prudential Mutual Fund - Alpha Low Vol 30 ETF,INR,NSE,XNSE,India,2023-09-25,
ICICIAUTO,ICICI Prudential Mutual Fund - ICICI Prudential Nifty Auto ETF,INR,NSE,XNSE,India,2023-09-25,
ICICIB22,BHARAT 22 ETF,INR,NSE,XNSE,India,2023-09-25,
ICICIBANKN,ICICI Prudential Mutual Fund - ICICI Prudential Bank ETF,INR,NSE,XNSE,India,2023-09-25,
ICICIBANKP,ICICI Prudential Private Banks ETF,INR,NSE,XNSE,India,2023-09-25,
ICICICONSU,ICICIPRAMC - ICICICONSU,INR,NSE,XNSE,India,2023-09-25,
ICICIFMCG,ICICIPRAMC - ICICIFMCG,INR,NSE,XNSE,India,2023-09-25,
ICICIGOLD,ICICI Prudential Gold ETF,INR,NSE,XNSE,India,2023-09-25,
ICICILIQ,ICICI Prudential Liquid ETF,INR,NSE,XNSE,India,2023-09-25,
ICICILOVOL,ICICI Prudential Nifty Low Vol 30 ETF,INR,NSE,XNSE,India,2023-09-25,
ICICIM150,ICICI Prudential Amc Ltd. - ICICI Prudential Mutual Fund ICICI Prudential Midcap 150 ETF,INR,NSE,XNSE,India,2023-09-25,
ICICIMCAP,ICICI Prudential Midcap Select ETF,INR,NSE,XNSE,India,2023-09-25,
ICICINF100,ICICI Prudential Nifty 100 ETF,INR,NSE,XNSE,India,2023-09-25,
ICICINIFTY,ICICI Prudential Nifty ETF,INR,NSE,XNSE,India,2023-09-25,
ICICINV20,ICICI Prudential NV20 ETF,INR,NSE,XNSE,India,2023-09-25,
ICICINXT50,ICICI Prudential Nifty Next 50 ETF,INR,NSE,XNSE,India,2023-09-25,
ICICIPHARM,ICICI Prudential AMC Ltd. - ICICI Prudential Mutual Fund - ICICI Prudential Healthcare ETF,INR,NSE,XNSE,India,2023-09-25,
ICICISENSX,ICICI Prudential Sensex ETF,INR,NSE,XNSE,India,2023-09-25,
ICICISILVE,ICICI Prudential Mutual Fund - ICICI Prudential Silver ETF,INR,NSE,XNSE,India,2023-09-25,
ICICITECH,ICICI Prudential Mutual Fund - ICICI Prudential IT ETF,INR,NSE,XNSE,India,2023-09-25,
IDBIGOLD,IDBI Gold ETF,INR,NSE,XNSE,India,2023-09-25,
IDFNIFTYET,IDFC Nifty ETF,INR,NSE,XNSE,India,2023-09-25,
INFRABEES,Nippon Mutual Funds - Nippon ETF Infra BeES,INR,NSE,XNSE,India,2023-09-25,
IVZINGOLD,Invesco India Gold ETF,INR,NSE,XNSE,India,2023-09-25,
IVZINNIFTY,Invesco India Nifty ETF,INR,NSE,XNSE,India,2023-09-25,
JUNIORBEES,Nippon India ETF Junior BeES,INR,NSE,XNSE,India,2023-09-25,
KOTAKALPHA,Kotak Mahindra Mutual Fund - Nifty Alpha 50 Etf,INR,NSE,XNSE,India,2023-09-25,
KOTAKBKETF,Kotak Banking ETF,INR,NSE,XNSE,India,2023-09-25,
KOTAKGOLD,Kotak Gold Exchange Traded Scheme,INR,NSE,XNSE,India,2023-09-25,
KOTAKIT,Kotak Mahindra Mutual Fund - Kotak IT Etf,INR,NSE,XNSE,India,2023-09-25,
KOTAKNIFTY,Kotak Nifty Exchange Traded Scheme,INR,NSE,XNSE,India,2023-09-25,
KOTAKNV20,Kotak NV 20 ETF,INR,NSE,XNSE,India,2023-09-25,
KOTAKPSUBK,Kotak PSU Bank Exchange Traded Scheme,INR,NSE,XNSE,India,2023-09-25,
LICNETFGSC,LIC MF G-SEC Long Term Exchange Trade Fund,INR,NSE,XNSE,India,2023-09-25,
LICNETFN50,LIC MF ETF Nifty 50,INR,NSE,XNSE,India,2023-09-25,
LICNETFSEN,LIC MF ETF Sensex,INR,NSE,XNSE,India,2023-09-25,
LICNFNHGP,LIC MF ETF Nifty 100,INR,NSE,XNSE,India,2023-09-25,
LIQUIDBEES,Nippon India ETF Liquid BeES,INR,NSE,XNSE,India,2023-09-25,
LIQUIDETF,DSP Liquid ETF,INR,NSE,XNSE,India,2023-09-25,
MAESGETF,Mirae Asset Global Invest ,INR,NSE,XNSE,India,2023-09-25,
MAFANG,Mirae Asset Global Invest ,INR,NSE,XNSE,India,2023-09-25,
MAFSETF,Mirae Asset Global Invest I Private Ltd. - Mirae Asset MF - Mirae Asset Nifty Financial Services ETF,INR,NSE,XNSE,India,2023-09-25,
MAHKTECH,Mirae Asset Global Invest ,INR,NSE,XNSE,India,2023-09-25,
MAMFGETF,Mirae Asset Mutual Fund - Mirae Asset Nifty India Manufacturing ETF,INR,NSE,XNSE,India,2023-09-25,
MAN50ETF,Mirae Asset Nifty 50 ETF ,INR,NSE,XNSE,India,2023-09-25,
MANXT50,Mirae Asset Global Investments India Pvt Ltd - Mirae Asset Mutual Fund - Mirae Asset NIFTY Next 50,INR,NSE,XNSE,India,2023-09-25,
MASPTOP50,MIRAEAMC - MASPTOP50,INR,NSE,XNSE,India,2023-09-25,
MOGSEC,Motilal Oswal Amc Ltd. - Motilal Oswal Mutual Fund - Motilal Oswal 5 Year G-Sec ETF,INR,NSE,XNSE,India,2023-09-25,
MOM100,Motilal Oswal Midcap 100 ETF,INR,NSE,XNSE,India,2023-09-25,
MOM50,Motilal Oswal M50 ETF,INR,NSE,XNSE,India,2023-09-25,
MON100,Motilal Oswal NASDAQ 100 ETF,INR,NSE,XNSE,India,2023-09-25,
MONQ50,Motilal Oswal AMC Ltd. - Motilal Oswal Mutual Fund - Motilal Oswal Nasdaq Q 50 ETF,INR,NSE,XNSE,India,2023-09-25,
NCPSESDL24,Nippon Life India Am Ltd. - Nippon India Mf-Nippon India Etf Nifty Cpse Bond Plus Sdl-2024 Maturity,INR,NSE,XNSE,India,2023-09-25,
NETF,Tata Nifty ETF,INR,NSE,XNSE,India,2023-09-25,
NETFCONSUM,Nippon India Mutual Fund - Nippon India ETF Consumption,INR,NSE,XNSE,India,2023-09-25,
NETFDIVOPP,Nippon India Mutual Fund - Nippon India ETF Dividend Opportunities,INR,NSE,XNSE,India,2023-09-25,
NETFIT,Nippon India ETF Nifty IT,INR,NSE,XNSE,India,2023-09-25,
NETFLTGILT,Nippon India Mutual Fund - Nippon India ETF Long Term Gilt,INR,NSE,XNSE,India,2023-09-25,
NETFNIF100,Nippon Mutual Funds - Nippon ETF Nifty 100,INR,NSE,XNSE,India,2023-09-25,
NETFPHARMA,NIPPONAMC - NETFPHARMA,INR,NSE,XNSE,India,2023-09-25,
NETFSDL26,Nippon India Mutual Fund,INR,NSE,XNSE,India,2023-09-25,
NIFTYBEES,Nippon India ETF Nifty BeES,INR,NSE,XNSE,India,2023-09-25,
NIFTYEES,Edelweiss ETF - Nifty 50,INR,NSE,XNSE,India,2023-09-25,
NPBET,Tata Asset Management Limited - Tata Mutual Fund - Tata Nifty Private Bank Exchange Traded Fund,INR,NSE,XNSE,India,2023-09-25,
PSUBNKBEES,Nippon India ETF PSU Bank BeES,INR,NSE,XNSE,India,2023-09-25,
QGOLDHALF,Quantum Gold Exchange Traded Scheme,INR,NSE,XNSE,India,2023-09-25,
QNIFTY,Quantum Nifty Exchange Traded Scheme,INR,NSE,XNSE,India,2023-09-25,
SBIETFCON,SBI Funds Management Private Limited - SBI Mutual Fund - SBI ETF Consumption,INR,NSE,XNSE,India,2023-09-25,
SBIETFIT,SBI Funds Management Private Limited - SBI Mutual Fund - SBI ETF IT,INR,NSE,XNSE,India,2023-09-25,
SBIETFPB,SBI Mutual Fund - SBI ETF Private Bank,INR,NSE,XNSE,India,2023-09-25,
SBIETFQLTY,SBI ETF Quality,INR,NSE,XNSE,India,2023-09-25,
SETF10GILT,SBI ETF 10 YEAR GILT,INR,NSE,XNSE,India,2023-09-25,
SETFGOLD,SBI ETF Gold,INR,NSE,XNSE,India,2023-09-25,
SETFNIF50,SBI ETF Nifty 50,INR,NSE,XNSE,India,2023-09-25,
SETFNIFBK,SBI ETF Nifty Bank,INR,NSE,XNSE,India,2023-09-25,
SETFNN50,SBI ETF Nifty Next 50,INR,NSE,XNSE,India,2023-09-25,
SHARIABEES,Nippon India ETF Shariah BeES,INR,NSE,XNSE,India,2023-09-25,
SILVER,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Silver ETF,INR,NSE,XNSE,India,2023-09-25,
TECH,Aditya Birla Sun Life Amc Ltd. - Absl Mutual Fund - Absl Nifty IT ETF,INR,NSE,XNSE,India,2023-09-25,
UTIBANKETF,UTI Bank Exchange Traded Fund,INR,NSE,XNSE,India,2023-09-25,
UTINEXT50,UTI Nifty Next 50 ETF,INR,NSE,XNSE,India,2023-09-25,
UTINIFTETF,UTI Nifty ETF,INR,NSE,XNSE,India,2023-09-25,
UTISENSETF,UTI Sensex ETF,INR,NSE,XNSE,India,2023-09-25,
UTISXN50,UTI S&P BSE Sensex Next 50 Exchange Traded Fund,INR,NSE,XNSE,India,2023-09-25,
