name,added_date,deleted_date
CoinTiger,2023-09-25,
COSS,2023-09-25,
C-Patex,2023-09-25,
CPDAX,2023-09-25,
Crex24,2023-09-25,
CryptalDash,2023-09-25,
CryptoBridge,2023-09-25,
Crypto.com Exchange,2023-09-25,
Cryptonex,2023-09-25,
Cryptopia,2023-09-25,
Dcoin,2023-09-25,
DDEX,2023-09-25,
Decoin,2023-09-25,
DigiFinex,2023-09-25,
DIGITAL CURRENCY,2023-09-25,
DragonEX,2023-09-25,
Escodex,2023-09-25,
Ethen,2023-09-25,
EtherDelta,2023-09-25,
EtherFlyer,2023-09-25,
Ethfinex,2023-09-25,
Exmo,2023-09-25,
Exrates,2023-09-25,
EXX,2023-09-25,
Fatbtc,2023-09-25,
FinexBox,2023-09-25,
Fisco,2023-09-25,
ForkDelta,2023-09-25,
FreiExchange,2023-09-25,
FTX,2023-09-25,
Gatecoin,2023-09-25,
Gate.io,2023-09-25,
GDAX,2023-09-25,
Gemini,2023-09-25,
GOPAX,2023-09-25,
Graviex,2023-09-25,
HADAX,2023-09-25,
HCoin,2023-09-25,
HitBTC,2023-09-25,
Hotbit,2023-09-25,
Huobi,2023-09-25,
Huobi Korea,2023-09-25,
IDAX,2023-09-25,
IDCM,2023-09-25,
IDEX,2023-09-25,
Independent Reserve,2023-09-25,
Indodax,2023-09-25,
itBit,2023-09-25,
Koineks,2023-09-25,
Koinim,2023-09-25,
Korbit,2023-09-25,
Kraken,2023-09-25,
Kryptono,2023-09-25,
Kucoin,2023-09-25,
KuCoin,2023-09-25,
Kyber Network,2023-09-25,
LakeBTC,2023-09-25,
LATOKEN,2023-09-25,
LBank,2023-09-25,
Liqui,2023-09-25,
Liquid,2023-09-25,
Livecoin,2023-09-25,
LocalTrade,2023-09-25,
Luno,2023-09-25,
Lykke,2023-09-25,
MercadoBitcoin,2023-09-25,
Mercatox,2023-09-25,
MEXC,2023-09-25,
MXC,2023-09-25,
Negocie Coins,2023-09-25,
n.exchange,2023-09-25,
NLexch,2023-09-25,
NovaDAX,2023-09-25,
Nova Exchange,2023-09-25,
OKCoin,2023-09-25,
OKEx,2023-09-25,
OKX,2023-09-25,
OOOBTC,2023-09-25,
OTCBTC,2023-09-25,
p2pb2b,2023-09-25,
PancakeSwap,2023-09-25,
Panxora,2023-09-25,
Paribu,2023-09-25,
Poloniex,2023-09-25,
PrizmBit,2023-09-25,
ProBit Exchange,2023-09-25,
QBTC,2023-09-25,
QUOINE,2023-09-25,
Satang Pro,2023-09-25,
SIMEX,2023-09-25,
SouthXchange,2023-09-25,
Stellarport,2023-09-25,
STEX,2023-09-25,
Stocks.Exchange,2023-09-25,
Switcheo Network,2023-09-25,
Synthetic,2023-09-25,
Therocktrading,2023-09-25,
Thodex,2023-09-25,
Thore Exchange,2023-09-25,
Tidebit,2023-09-25,
Tidex,2023-09-25,
TOKENMOM,2023-09-25,
Tokenomy,2023-09-25,
Token Store,2023-09-25,
TOKOK,2023-09-25,
TOPBTC,2023-09-25,
Trade By Trade,2023-09-25,
TradeOgre,2023-09-25,
Trade Satoshi,2023-09-25,
Turuko,2023-09-25,
Uniswap,2023-09-25,
Upbit,2023-09-25,
Vebitcoin,2023-09-25,
VVBTC,2023-09-25,
Waves Decentralized Exchange,2023-09-25,
WazirX,2023-09-25,
xBTCe,2023-09-25,
XT.COM,2023-09-25,
YoBit,2023-09-25,
Zaif,2023-09-25,
ZB.COM,2023-09-25,
