name,code,country,timezone,added_date,deleted_date
BC,XCAS,Morocco,Africa/Casablanca,2023-09-25,
NSX,XNAM,Namibia,Africa/Windhoek,2023-09-25,
Euronext,XAMS,Netherlands,Europe/Amsterdam,2023-09-25,
NZX,XNZE,New Zealand,Pacific/Auckland,2023-09-25,
NSE,XNSA,Nigeria,Africa/Lagos,2023-09-25,
OSE,XOSL,Norway,Europe/Oslo,2023-09-25,
MSM,XMUS,Oman,Asia/Muscat,2023-09-25,
PSX,XKAR,Pakistan,Asia/Karachi,2023-09-25,
PEX,XPAE,Palestinian Territories,Asia/Jerusalem,2023-09-25,
BVL,XLIM,Peru,America/Lima,2023-09-25,
PSE,XPHS,Philippines,Asia/Manila,2023-09-25,
GPW,XWAR,Poland,Europe/Warsaw,2023-09-25,
Euronext,XLIS,Portugal,Europe/Lisbon,2023-09-25,
QE,DSMD,Qatar,Asia/Qatar,2023-09-25,
BVB,XBSE,Romania,Europe/Bucharest,2023-09-25,
MOEX,MISX,Russia,Europe/Moscow,2023-09-25,
RSE,RSEX,Rwanda,Africa/Kigali,2023-09-25,
Tadawul,XSAU,Saudi Arabia,Asia/Riyadh,2023-09-25,
BELEX,XBEL,Serbia,Europe/Belgrade,2023-09-25,
SGX,XSES,Singapore,Asia/Singapore,2023-09-25,
BSSE,XBRA,Slovakia,Europe/Bratislava,2023-09-25,
XLJU,XLJU,Slovenia,Europe/Ljubljana,2023-09-25,
JSE,XJSE,South Africa,Africa/Johannesburg,2023-09-25,
KONEX,XKON,South Korea,Asia/Seoul,2023-09-25,
KRX,XKRX,South Korea,Asia/Seoul,2023-09-25,
KOSDAQ,XKOS,South Korea,Asia/Seoul,2023-09-25,
BME,XMAD,Spain,Europe/Madrid,2023-09-25,
BME,XBIL,Spain,Europe/Madrid,2023-09-25,
BME,XBAR,Spain,Europe/Madrid,2023-09-25,
CSE,XCOL,Sri Lanka,Asia/Colombo,2023-09-25,
SSME,SSME,Sweden,Europe/Stockholm,2023-09-25,
Spotlight Stock Market,XSAT,Sweden,Europe/Stockholm,2023-09-25,
OMX,XSTO,Sweden,Europe/Stockholm,2023-09-25,
SIX,XSWX,Switzerland,Europe/Zurich,2023-09-25,
TWSE,XTAI,Taiwan,Asia/Taipei,2023-09-25,
TPEX,ROCO,Taiwan,Asia/Taipei,2023-09-25,
DSE,XDAR,Tanzania,Africa/Dar_es_Salaam,2023-09-25,
SET,XBKK,Thailand,Asia/Bangkok,2023-09-25,
BVMT,XTUN,Tunisia,Africa/Tunis,2023-09-25,
BIST,XIST,Turkey,Europe/Istanbul,2023-09-25,
USE,XUGA,Uganda,Africa/Kampala,2023-09-25,
UX,XUAX,Ukraine,Europe/Kiev,2023-09-25,
DFM,XDFM,United Arab Emirates,Asia/Dubai,2023-09-25,
ADX,XADS,United Arab Emirates,Asia/Dubai,2023-09-25,
NDXB,DIFX,United Arab Emirates,Asia/Dubai,2023-09-25,
LSE,XLON,United Kingdom,Europe/London,2023-09-25,
OTC,PINX,United States,America/New_York,2023-09-25,
OTC,OTCM,United States,America/New_York,2023-09-25,
OTC,EXPM,United States,America/New_York,2023-09-25,
CBOE,BATS,United States,America/New_York,2023-09-25,
IEX,IEXG,United States,America/New_York,2023-09-25,
OTC,OTCQ,United States,America/New_York,2023-09-25,
NASDAQ,XNMS,United States,America/New_York,2023-09-25,
NASDAQ,XNAS,United States,America/New_York,2023-09-25,
OTC,OTCB,United States,America/New_York,2023-09-25,
NASDAQ,XNGS,United States,America/New_York,2023-09-25,
OTC,PSGM,United States,America/New_York,2023-09-25,
NYSE,XNYS,United States,America/New_York,2023-09-25,
ICE,NYBOT,United States,America/New_York,2023-09-25,
NASDAQ,XNCM,United States,America/New_York,2023-09-25,
NYSE,XASE,United States,America/New_York,2023-09-25,
NYSE,ARCX,United States,America/New_York,2023-09-25,
BVCC,BVCA,Venezuela,America/Caracas,2023-09-25,
HNX,XSTC,Vietnam,Asia/Ho_Chi_Minh,2023-09-25,
LUSE,XLUS,Zambia,Africa/Lusaka,2023-09-25,
ZSE,XZIM,Zimbabwe,Africa/Harare,2023-09-25,
