Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-03-07,411.1895573682186,411.1895573682186,362.8700471705708,377.1290283203125,841,0.0,0.0
2007-03-08,369.5495006720265,397.9253817196224,364.7649332429872,381.8188781738281,2717,0.0,0.0
2007-03-09,384.0927452259667,388.68784188780256,380.0187586924069,381.58203125,654,0.0,0.0
2007-03-12,377.1764868587074,397.9254510221374,377.1764868587074,380.2082824707031,14974,0.0,0.0
2007-03-13,385.7034508981198,393.1882331684824,377.08172723146026,387.2667236328125,487,0.0,0.0
2007-03-14,378.976578969693,388.4509934439353,369.5021644954507,372.8655700683594,2352,0.0,0.0
2007-03-15,382.7189582165007,416.87420850715137,377.792251459606,397.45166015625,34829,0.0,0.0
2007-03-16,409.1525623701528,409.1525623701528,374.3340919415594,378.3607177734375,4085,0.0,0.0
2007-03-19,355.2905254161986,402.6625954716917,355.2905254161986,388.261474609375,92272,0.0,0.0
2007-03-20,381.8189114647211,388.4510017383019,379.92402852941234,381.86627197265625,3154,0.0,0.0
2007-03-21,387.8824952880783,410.0052572994367,386.5560831384637,406.3102416992188,46172,0.0,0.0
2007-03-22,392.2407245229724,440.37073422749467,392.2407245229724,433.6912841796875,19677,0.0,0.0
2007-03-23,458.5142748366527,458.5142748366527,416.8742139463388,423.7431640625,2147,0.0,0.0
2007-03-26,412.18437839881193,419.7165492567905,406.4523693705714,407.3998107910156,25323,0.0,0.0
2007-03-28,397.92533101501664,402.1888167044633,385.2296238558316,393.3776245117188,3884,0.0,0.0
2007-03-29,391.2932754452276,402.2362114134192,391.2932754452276,398.4938354492188,1274,0.0,0.0
2007-03-30,414.0318932504642,414.0318932504642,393.33029280521765,394.6093444824219,861,0.0,0.0
2007-04-02,393.1882276566999,396.03055219397726,380.96623792913135,384.2348937988281,2350,0.0,0.0
2007-04-03,384.661246166969,392.6197489256306,382.2926424344138,388.3562622070313,2515,0.0,0.0
2007-04-04,389.3983917566568,391.29327444160407,383.9506040374335,385.7981262207031,3138,0.0,0.0
2007-04-05,383.71377106683593,393.1881851672516,383.4295502092704,388.7351989746094,1028,0.0,0.0
2007-04-09,396.97795414565775,402.6626026537101,392.28810756106753,393.425048828125,988,0.0,0.0
2007-04-10,400.76773688152974,400.76773688152974,380.8714662562056,399.58343505859375,469,0.0,0.0
2007-04-11,399.8202135436596,406.45230239390986,391.4827419830758,393.3776245117188,635,0.0,0.0
2007-04-12,401.1466709788128,412.1369966728111,401.1466709788128,405.8365173339844,1505,0.0,0.0
2007-04-13,406.6892343751391,418.3901418341188,406.6892343751391,415.9267883300781,4241,0.0,0.0
2007-04-16,418.1059076006334,437.7179575226136,418.1059076006334,427.580322265625,4550,0.0,0.0
2007-04-17,419.81129394058,426.3486338773086,416.87421979114623,421.7061767578125,1596,0.0,0.0
2007-04-18,417.4426665025165,426.2538595323815,416.8741959071927,417.1584167480469,1214,0.0,0.0
2007-04-19,411.1895531037014,414.12662712287965,404.6048240403962,408.3472290039063,685,0.0,0.0
2007-04-20,425.4011486730569,436.7704444059671,413.13177212917896,423.64837646484375,9736,0.0,0.0
2007-04-23,426.34861387055497,426.34861387055497,409.2946693157328,412.1369934082031,1630,0.0,0.0
2007-04-24,421.61146585461466,429.9963288796158,421.61146585461466,427.3434753417969,4078,0.0,0.0
2007-04-25,426.348644236758,440.4655157854293,403.70479980335153,410.0052795410156,16847,0.0,0.0
2007-04-26,429.1909512372579,429.948892786579,384.66120574465054,386.50872802734375,7955,0.0,0.0
