Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-08-05,200.73603080032103,203.8359483701333,193.62185214790105,196.4318389892578,4277354,0.0,0.0
2015-08-06,198.48355055801989,200.00005136801943,195.1383221778285,196.58792114257807,1114822,0.0,0.0
2015-08-07,194.58080874364435,196.54334025274468,193.1312095954109,195.7627868652344,1328012,0.0,0.0
2015-08-10,195.36134852632367,197.99292561288595,193.6218323919364,194.87071228027344,382870,0.0,0.0
2015-08-11,196.23112378218724,196.2534198624633,192.28375113759947,194.78152465820312,400526,0.0,0.0
2015-08-12,194.49161852870145,194.49161852870145,186.97601454837508,188.84933471679688,654956,0.0,0.0
2015-08-13,190.0089820825333,192.239134454394,186.32923066896308,187.132080078125,417966,0.0,0.0
2015-08-14,187.3104930813629,189.56294141106915,186.1285014984433,186.3515167236328,339512,0.0,0.0
2015-08-17,186.7975898204287,190.7672726245068,186.4407708233704,189.45147705078125,282002,0.0,0.0
2015-08-18,191.34706901304105,192.95278140543445,190.18738708454748,191.70388793945312,1175502,0.0,0.0
2015-08-19,192.1722403816032,193.51033185886388,190.47731634334417,192.61827087402344,1238402,0.0,0.0
2015-08-20,192.72979205525107,193.577247328112,187.1098047330484,188.24717712402344,427730,0.0,0.0
2015-08-21,186.886803316338,193.3319503073979,186.44077275949704,192.06076049804688,609206,0.0,0.0
2015-08-24,185.8832191635757,188.4032888785921,170.38365859744675,176.73959350585938,1237362,0.0,0.0
2015-08-25,178.4567892453688,180.64233577061,170.85196175759384,177.9884490966797,1548900,0.0,0.0
2015-08-26,177.07413509768628,183.3408591192808,175.1562091043096,179.0366668701172,1241146,0.0,0.0
2015-08-27,181.53444724600257,185.50411671158264,179.415801977161,182.91714477539065,736874,0.0,0.0
2015-08-28,184.1659933877868,185.83860778694643,181.6682198293541,183.36314392089844,801288,0.0,0.0
2015-08-31,181.311414511423,187.28822102511555,179.3934886341167,180.8876800537109,1408430,0.0,0.0
2015-09-01,180.10712972852374,183.1178359256989,178.4568248689873,180.57546997070312,922644,0.0,0.0
2015-09-02,183.76458125241817,183.76458125241817,179.03665483764723,180.6200714111328,1640322,0.0,0.0
2015-09-03,180.4193411943504,181.6459250961661,179.52728017484804,180.8653717041016,903636,0.0,0.0
2015-09-04,181.4675226930422,181.4675226930422,177.65395351885292,179.19276428222656,436216,0.0,0.0
2015-09-07,179.79489343709807,180.8430678120933,175.0000656643779,176.85108947753906,288692,0.0,0.0
2015-09-08,177.2971317491121,178.81363279517794,169.6254013582785,171.18650817871094,466496,0.0,0.0
2015-09-09,172.68069540780698,178.8582201993918,172.68069540780698,176.18203735351562,682422,0.0,0.0
2015-09-10,175.6245159310586,177.7654569662716,171.7217489103684,175.8698272705078,477468,0.0,0.0
2015-09-11,177.07411954322788,182.85022032316263,177.05182346154564,180.7984771728516,817246,0.0,0.0
2015-09-14,181.08839899945409,183.4969611899004,177.96618522360143,182.0696716308593,687510,0.0,0.0
2015-09-15,182.60490957138043,182.60490957138043,179.81721855566025,179.92872619628906,1934100,0.0,0.0
2015-09-16,181.7351364088583,183.65306215361085,180.6423562166664,181.44520568847656,1579074,0.0,0.0
