,symbol,min_date,max_date,missing_dates_per,latest_closing_price,growth_per_30,avg_vol_30,growth_per_7,avg_vol_7,latest_signal,latest_trend,signal_start_date,signal_duration,trend_start_date,trend_duration
15,AARTECH,2023-07-10,2024-10-18,5.73,65.06,-18.26,335609,-2.43,184463,Buy,-1,2024-06-07 00:00:00,133,2024-10-16 00:00:00,2
16,AARTIDRUGS,2003-09-19,2024-10-18,5.43,499.85,-5.44,168202,-2.21,111844,Buy,-1,2024-06-28 00:00:00,112,2024-10-08 00:00:00,10
17,AARTIIND,2002-07-01,2024-10-18,5.07,524.25,-7.68,1514502,-1.63,963636,Sell,1,2024-10-01 00:00:00,17,2024-10-17 00:00:00,1
18,AARTIPHARM,2023-01-30,2024-10-18,6.14,609.85,-8.26,146036,-0.05,83791,Buy,-1,2024-08-19 00:00:00,60,2024-10-15 00:00:00,3
19,AARTISURF,2020-07-14,2024-10-18,5.3,765.7,-13.23,47305,-2.83,8338,Buy,-1,2024-09-13 00:00:00,35,2024-10-16 00:00:00,2
20,AARVEEDEN,2006-11-21,2024-10-18,5.87,47.0,-6.0,29185,-5.02,6621,Sell,-1,2024-09-16 00:00:00,32,2024-10-10 00:00:00,8
21,AARVI,2017-10-06,2024-10-18,5.76,154.97,7.91,92220,6.97,150430,Buy,-1,2024-07-25 00:00:00,85,2024-10-17 00:00:00,1
22,AAVAS,2018-10-08,2024-10-18,5.84,1731.15,-5.83,218778,0.18,115713,Buy,1,2024-06-10 00:00:00,130,2024-10-17 00:00:00,1
23,ABAN,2002-08-12,2024-10-18,5.18,67.9,-8.84,129057,-3.74,74291,Buy,-1,2024-07-30 00:00:00,80,2024-10-11 00:00:00,7
24,ABB,2002-07-01,2024-10-18,5.07,8783.0,11.25,322475,2.27,299053,Buy,1,2024-10-08 00:00:00,10,2024-10-17 00:00:00,1
25,ABBOTINDIA,2002-08-12,2024-10-18,5.1,29209.55,1.64,12174,0.58,11550,Sell,1,2024-07-18 00:00:00,92,2024-10-17 00:00:00,1
26,ABCAPITAL,2017-09-01,2024-10-18,5.73,222.08,-3.15,7015855,-1.53,2919124,Sell,1,2024-10-03 00:00:00,15,2024-10-17 00:00:00,1
27,ABDL,2024-07-02,2024-10-18,3.23,331.25,-4.36,629710,0.98,400454,Buy,-1,2024-08-06 00:00:00,73,2024-10-16 00:00:00,2
28,ABFRL,2013-07-17,2024-10-18,5.95,334.05,-0.07,5922730,-2.9,2599842,Buy,1,2024-06-04 00:00:00,136,2024-10-17 00:00:00,1
29,ABGSEC,2024-07-10,2024-10-18,6.02,103.86,1.22,2091,0.36,97,Sell,1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
30,ABMINTLLTD,2016-06-29,2024-10-18,5.76,68.1,19.9,914,18.53,3348,Buy,1,2024-10-17 00:00:00,1,2024-10-14 00:00:00,4
31,ABREL,1996-01-01,2024-10-18,3.93,3052.8,7.54,298031,9.47,312835,Sell,1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
32,ABSLAMC,2021-10-11,2024-10-18,5.63,761.65,0.19,730466,9.03,1683250,Buy,-1,2024-10-15 00:00:00,3,2024-10-16 00:00:00,2
33,ABSLLIQUID,2023-03-16,2024-10-18,16.09,999.99,-0.0,18031,-0.0,43148,Sell,-1,2023-08-17 00:00:00,428,2024-10-17 00:00:00,1
34,ABSLPSE,2024-05-23,2024-10-18,4.24,10.8,-1.74,367149,-1.33,127428,Sell,1,2024-06-18 00:00:00,122,2024-10-17 00:00:00,1
35,ACC,2002-07-01,2024-10-18,5.13,2285.65,-8.82,322997,-2.02,216793,Sell,1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
36,ACCELYA,2002-07-01,2024-10-18,5.13,1689.5,-5.41,33765,-4.29,15721,Sell,-1,2024-10-03 00:00:00,15,2024-10-15 00:00:00,3
37,ACCURACY,2018-07-06,2024-10-18,5.95,10.61,7.12,218107,5.3,329016,Sell,-1,2024-10-01 00:00:00,17,2024-10-16 00:00:00,2
38,ACE,2006-09-26,2024-10-18,5.88,1379.1,0.67,424780,1.88,303650,Buy,-1,2024-10-08 00:00:00,10,2024-10-16 00:00:00,2
39,ACEINTEG,2017-07-13,2024-10-18,5.75,33.14,-14.12,64206,-2.6,24435,Sell,1,2024-07-30 00:00:00,80,2024-10-17 00:00:00,1
40,ACI,2022-11-21,2024-10-18,5.73,658.9,-7.47,292200,-2.9,183260,Buy,-1,2024-04-10 00:00:00,191,2024-10-11 00:00:00,7
41,ACL,2010-11-08,2024-10-18,5.88,88.43,-2.09,63925,-0.82,24129,Sell,1,2024-10-03 00:00:00,15,2024-10-17 00:00:00,1
42,ACLGATI,2006-10-10,2024-10-18,5.87,106.76,1.46,1604270,-0.05,732895,Buy,-1,2024-08-19 00:00:00,60,2024-10-17 00:00:00,1
43,ADANIENSOL,2023-08-16,2024-10-18,6.93,1043.3,4.34,2636871,4.06,1806165,Sell,1,2024-08-02 00:00:00,77,2024-10-17 00:00:00,1
44,ADANIENT,2002-07-01,2024-10-18,5.09,3002.0,1.18,1408313,-4.96,982137,Sell,-1,2024-06-03 00:00:00,137,2024-10-15 00:00:00,3
45,ADANIGREEN,2018-06-18,2024-10-18,5.88,1736.05,-11.07,1730062,-3.2,400082,Sell,1,2024-09-27 00:00:00,21,2024-10-17 00:00:00,1
46,ADANIPORTS,2007-11-27,2024-10-18,5.93,1405.6,-2.31,2215266,-1.31,1179695,Sell,1,2024-08-02 00:00:00,77,2024-10-17 00:00:00,1
47,ADANIPOWER,2009-08-20,2024-10-18,5.83,611.4,-7.61,2153266,-5.48,1569493,Sell,1,2024-06-03 00:00:00,137,2024-10-17 00:00:00,1
48,ADFFOODS,2010-09-15,2024-10-18,5.84,308.35,6.67,931521,-0.53,785040,Buy,1,2024-10-08 00:00:00,10,2024-10-17 00:00:00,1
49,ADL,2020-10-01,2024-10-18,5.6,101.54,-23.34,6527,-2.98,2250,Buy,1,2020-11-17 00:00:00,1431,2024-10-17 00:00:00,1
50,ADORWELD,2002-07-01,2024-10-18,5.13,1341.95,0.28,16110,-1.37,7498,Buy,-1,2024-06-10 00:00:00,130,2024-10-16 00:00:00,2
51,ADROITINFO,2015-10-13,2024-10-18,5.84,20.64,9.41,270349,-5.18,279842,Buy,1,2024-10-07 00:00:00,11,2024-10-17 00:00:00,1
52,ADSL,2007-07-25,2024-10-18,5.88,293.55,-2.56,778072,1.05,775593,Buy,1,2024-06-27 00:00:00,113,2024-10-17 00:00:00,1
53,ADVANIHOTR,2007-06-25,2024-10-18,5.85,71.18,-5.04,134539,-2.18,48371,Buy,1,2024-04-02 00:00:00,199,2024-10-17 00:00:00,1
54,ADVENZYMES,2016-08-01,2024-10-18,5.77,479.7,-10.23,317255,-0.95,257236,Buy,-1,2023-12-05 00:00:00,318,2024-10-16 00:00:00,2
55,AEGISCHEM,2002-07-01,2024-08-02,5.16,735.35,-12.71,463283,-15.22,342993,Sell,-1,2024-07-31 00:00:00,2,2024-07-26 00:00:00,7
56,AEGISLOG,2024-05-30,2024-10-18,4.1,725.25,-6.27,270763,5.97,382127,Buy,-1,2024-10-14 00:00:00,4,2024-10-17 00:00:00,1
57,AEROFLEX,2023-08-31,2024-10-18,6.35,200.12,3.74,1759865,2.75,2689992,Buy,1,2024-09-30 00:00:00,18,2024-10-17 00:00:00,1
58,AETHER,2022-06-03,2024-10-18,5.64,926.9,-5.6,175448,-3.15,578168,Buy,1,2024-01-30 00:00:00,262,2024-10-16 00:00:00,2
59,AFFLE,2019-08-08,2024-10-18,5.76,1566.45,0.24,215465,-2.94,154361,Buy,-1,2024-10-08 00:00:00,10,2024-10-11 00:00:00,7
60,AFIL,2024-06-26,2024-10-18,4.21,100.68,-14.3,147063,-1.83,46909,Buy,1,2024-10-11 00:00:00,7,2024-10-15 00:00:00,3
61,AGARIND,2014-05-26,2024-10-18,5.89,1123.6,-5.34,29913,-1.86,16962,Buy,1,2024-06-07 00:00:00,133,2024-10-17 00:00:00,1
62,AGI,2002-07-01,2024-10-18,5.07,949.0,9.91,304183,-2.66,564902,Buy,-1,2024-10-10 00:00:00,8,2024-10-16 00:00:00,2
63,AGIIL,2024-07-15,2024-10-18,3.57,985.15,1.0,17259,2.7,1271,Buy,-1,2024-08-14 00:00:00,65,2024-10-17 00:00:00,1
64,AGRITECH,2014-01-28,2024-10-18,5.93,219.14,-0.08,40988,-2.59,17796,Buy,-1,2024-09-17 00:00:00,31,2024-10-16 00:00:00,2
65,AGROPHOS,2017-03-15,2024-10-18,5.7,48.61,3.69,227490,-1.08,687052,Buy,1,2024-10-03 00:00:00,15,2024-10-17 00:00:00,1
66,AGSTRA,2022-01-31,2024-10-18,5.67,93.07,-16.09,576412,-1.23,358930,Buy,-1,2024-01-05 00:00:00,287,2024-10-15 00:00:00,3
67,AHL,2022-12-23,2024-10-18,6.02,354.45,-8.91,262378,-4.64,118130,Sell,-1,2024-09-06 00:00:00,42,2024-10-15 00:00:00,3
68,AHLADA,2018-10-12,2024-10-18,5.87,101.53,-9.9,43217,-3.27,31351,Buy,-1,2024-03-21 00:00:00,211,2024-10-15 00:00:00,3
69,AHLEAST,2010-08-11,2024-10-18,5.83,182.34,29.46,113551,8.87,162094,Buy,-1,2024-09-27 00:00:00,21,2024-10-17 00:00:00,1
70,AHLUCONT,2009-12-14,2024-10-18,5.81,1174.25,-4.01,108693,5.48,207793,Sell,1,2024-08-02 00:00:00,77,2024-10-14 00:00:00,4
71,AHLWEST,2010-08-05,2024-10-18,5.83,144.15,0.0,0,0.0,0,Buy,-1,2024-10-17 00:00:00,1,2022-06-24 00:00:00,847
72,AIAENG,2005-12-14,2024-10-18,5.83,4163.85,-2.27,71066,2.93,45243,Buy,-1,2024-06-14 00:00:00,126,2024-10-17 00:00:00,1
73,AIIL,2024-04-23,2024-10-18,5.07,1827.5,8.98,89175,0.52,96154,Buy,-1,2024-10-08 00:00:00,10,2024-10-17 00:00:00,1
74,AIRAN,2017-07-25,2024-10-18,5.77,37.23,-8.21,146016,8.88,142452,Buy,1,2024-10-11 00:00:00,7,2024-10-17 00:00:00,1
75,AIROLAM,2017-10-06,2024-10-18,5.76,135.2,-0.91,43220,-4.76,16121,Buy,1,2022-11-21 00:00:00,697,2024-10-17 00:00:00,1
76,AJANTPHARM,2002-07-01,2024-10-18,5.13,3199.55,2.3,171001,-4.09,114263,Sell,-1,2024-09-13 00:00:00,35,2024-10-16 00:00:00,2
77,AJMERA,2006-09-27,2024-10-18,5.88,868.95,23.67,178522,24.98,677853,Buy,1,2024-10-14 00:00:00,4,2024-10-17 00:00:00,1
78,AJOONI,2018-01-02,2024-10-18,5.98,8.0,-11.01,834654,-10.63,573795,Buy,-1,2024-06-28 00:00:00,112,2024-10-10 00:00:00,8
79,AJRINFRA,2008-04-03,2024-10-18,5.94,0.7,0.0,0,0.0,0,Buy,1,2023-09-08 00:00:00,406,2023-09-08 00:00:00,406
80,AKASH,2017-03-15,2024-10-18,5.71,35.22,-5.51,54244,-4.08,26353,Sell,-1,2024-08-09 00:00:00,70,2024-10-15 00:00:00,3
81,AKG,2018-10-10,2024-10-18,5.85,18.95,-11.82,115563,-4.0,48818,Buy,-1,2024-05-24 00:00:00,147,2024-10-16 00:00:00,2
82,AKI,2023-04-06,2024-10-18,6.03,20.07,1.19,87126,-4.36,97586,Sell,1,2024-02-09 00:00:00,252,2024-10-17 00:00:00,1
83,AKSHAR,2022-05-23,2024-10-18,5.54,1.15,-31.55,1714424,-24.59,2173493,Sell,-1,2024-07-30 00:00:00,80,2024-10-10 00:00:00,8
84,AKSHARCHEM,2017-03-29,2024-10-18,5.74,305.85,-9.97,7451,-4.71,5026,Buy,-1,2023-12-26 00:00:00,297,2024-10-16 00:00:00,2
85,AKSHOPTFBR,2002-07-01,2024-10-18,5.13,11.16,27.95,1022286,16.54,2827064,Buy,1,2024-10-11 00:00:00,7,2024-10-16 00:00:00,2
86,AKUMS,2024-08-06,2024-10-18,4.48,910.0,7.64,145900,6.39,192873,Buy,-1,2024-10-15 00:00:00,3,2024-10-16 00:00:00,2
87,AKZOINDIA,2002-07-01,2024-10-18,5.13,3910.85,6.41,22952,-4.33,18036,Buy,-1,2024-10-08 00:00:00,10,2024-10-15 00:00:00,3
88,ALANKIT,2015-06-30,2024-10-18,5.78,21.52,-14.96,1838475,-5.0,819747,Buy,1,2024-10-11 00:00:00,7,2024-10-17 00:00:00,1
89,ALBERTDAVD,2016-06-14,2024-10-18,5.73,1356.35,-9.42,4832,-6.01,3278,Buy,1,2024-06-06 00:00:00,134,2024-10-17 00:00:00,1
90,ALCHEM,2007-07-31,2024-10-18,5.89,3.15,0.0,0,0.0,0,Buy,-1,2024-10-17 00:00:00,1,2021-08-06 00:00:00,1169
91,ALEMBICLTD,2002-07-01,2024-10-18,5.07,133.63,-8.47,695486,-3.82,552468,Sell,-1,2024-10-04 00:00:00,14,2024-10-15 00:00:00,3
92,ALICON,2006-10-03,2024-10-18,5.87,1313.75,-9.51,32013,-1.66,13443,Buy,1,2024-06-11 00:00:00,129,2024-10-17 00:00:00,1
93,ALKALI,2008-11-06,2024-10-18,5.9,120.83,-3.62,25230,-0.19,18348,Sell,-1,2024-09-06 00:00:00,42,2024-10-17 00:00:00,1
94,ALKEM,2015-12-23,2024-10-18,5.79,6132.75,-1.32,184905,-1.65,149071,Buy,1,2024-08-07 00:00:00,72,2024-10-17 00:00:00,1
95,ALKYLAMINE,2007-11-26,2024-10-18,5.93,2237.6,-3.5,198986,-2.26,57098,Buy,-1,2024-04-03 00:00:00,198,2024-10-14 00:00:00,4
96,ALLCARGO,2006-06-23,2024-10-18,5.82,60.35,-10.26,2963432,-1.76,1479107,Sell,-1,2024-10-04 00:00:00,14,2024-10-16 00:00:00,2
97,ALLDIGI,2024-09-18,2024-10-18,2.63,1104.8,-1.17,22170,9.25,20796,Buy,1,2024-10-16 00:00:00,2,2024-10-14 00:00:00,4
98,ALLSEC,2005-05-09,2024-10-18,5.77,1104.8,-1.17,22170,9.25,20796,Buy,1,2024-01-19 00:00:00,273,2024-10-14 00:00:00,4
99,ALMONDZ,2008-06-16,2024-10-18,5.89,32.09,-1.71,165997,3.77,162928,Buy,-1,2024-06-07 00:00:00,133,2024-10-16 00:00:00,2
100,ALOKINDS,1996-01-02,2024-10-18,3.93,23.39,-10.44,15314804,-8.37,11108725,Buy,1,2024-06-18 00:00:00,122,2024-10-17 00:00:00,1
101,ALPA,2007-08-06,2024-10-18,5.89,118.03,0.73,541346,-3.32,34731,Buy,-1,2024-07-05 00:00:00,105,2024-10-17 00:00:00,1
102,ALPHA,2024-03-12,2024-10-18,6.71,56.82,-3.89,1767211,-2.04,924889,Sell,1,2024-06-04 00:00:00,136,2024-10-17 00:00:00,1
103,ALPHAETF,2023-10-27,2024-10-18,7.45,28.34,-2.03,1503333,-1.2,686099,Sell,1,2024-06-03 00:00:00,137,2024-10-17 00:00:00,1
104,ALPHAGEO,2007-05-11,2024-10-18,5.81,424.9,-0.85,10713,3.07,5839,Sell,-1,2024-10-04 00:00:00,14,2024-10-16 00:00:00,2
105,ALPL30IETF,2020-08-18,2024-10-18,5.52,30.58,-3.27,1954730,-2.11,1620791,Sell,1,2023-10-25 00:00:00,359,2024-10-17 00:00:00,1
106,ALPSINDUS,2002-07-01,2024-10-18,5.13,3.69,3.08,58516,-2.71,48147,Sell,-1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
107,AMBER,2018-01-30,2024-10-18,5.85,5403.55,20.73,713675,7.11,503010,Buy,-1,2024-09-20 00:00:00,28,2024-10-16 00:00:00,2
108,AMBICAAGAR,2004-06-29,2024-10-18,5.62,27.83,-7.45,24169,0.35,16036,Sell,-1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
109,AMBIKCO,2008-01-29,2024-10-18,5.95,1604.2,-11.46,11978,-1.69,8069,Buy,-1,2024-10-11 00:00:00,7,2024-10-16 00:00:00,2
110,AMBUJACEM,2002-07-01,2024-10-18,5.11,573.95,-8.14,3010226,-2.9,5109867,Sell,1,2024-06-03 00:00:00,137,2024-10-17 00:00:00,1
111,AMDIND,2007-03-19,2024-10-18,5.86,70.52,-9.43,19653,1.1,18813,Buy,1,2024-08-09 00:00:00,70,2024-10-17 00:00:00,1
112,AMIORG,2021-09-14,2024-10-18,5.49,1590.6,2.34,287105,-5.47,99004,Sell,-1,2024-08-02 00:00:00,77,2024-10-10 00:00:00,8
113,AMJLAND,2002-07-01,2024-10-18,5.08,53.36,0.28,25355,9.56,38042,Buy,1,2024-03-28 00:00:00,204,2024-10-08 00:00:00,10
114,AMNPLST,2023-11-10,2024-10-18,6.48,325.75,0.48,17404,11.01,38738,Buy,1,2024-04-19 00:00:00,182,2024-10-15 00:00:00,3
115,AMRUTANJAN,2009-11-05,2024-10-18,5.77,769.7,-3.67,111263,-0.5,21700,Buy,-1,2024-02-06 00:00:00,255,2024-10-16 00:00:00,2
116,ANANDRATHI,2021-12-14,2024-10-18,5.55,4286.3,7.24,79020,0.82,223423,Buy,1,2024-10-08 00:00:00,10,2024-10-17 00:00:00,1
117,ANANTRAJ,2006-09-27,2024-10-18,5.88,767.05,15.02,2311398,0.72,766950,Buy,1,2024-10-11 00:00:00,7,2024-10-17 00:00:00,1
118,ANDHRACEMT,2023-05-15,2024-08-09,11.4,94.26,-2.11,103408,-1.95,72371,Buy,-1,2024-06-07 00:00:00,63,2024-08-07 00:00:00,2
119,ANDHRAPAP,1996-01-01,2024-10-18,3.89,101.39,-5.52,234419,-0.27,155748,Buy,-1,2024-07-01 00:00:00,109,2024-10-16 00:00:00,2
120,ANDHRSUGAR,2002-07-01,2024-10-18,5.11,104.15,-5.97,309208,-0.19,156923,Sell,-1,2024-10-11 00:00:00,7,2024-10-16 00:00:00,2
121,ANGELONE,2020-10-05,2024-10-18,5.51,3114.4,20.24,2703622,17.56,7018733,Buy,-1,2024-08-16 00:00:00,63,2024-10-16 00:00:00,2
122,ANIKINDS,2008-05-21,2024-10-18,5.88,80.49,-6.88,5802,6.01,3369,Buy,1,2024-02-06 00:00:00,255,2024-10-16 00:00:00,2
123,ANKITMETAL,2013-03-14,2024-10-18,5.95,3.69,-0.14,60254,0.7,64721,Sell,1,2024-10-04 00:00:00,14,2024-10-16 00:00:00,2
124,ANMOL,2021-06-04,2024-10-18,5.37,32.01,1.84,82235,-6.0,186736,Buy,-1,2024-10-09 00:00:00,9,2024-10-11 00:00:00,7
125,ANSALAPI,2006-01-27,2024-10-18,5.83,12.11,-9.19,82658,-5.02,443,Sell,-1,2024-10-04 00:00:00,14,2024-09-20 00:00:00,28
126,ANSALHSG,2006-10-06,2022-10-18,5.87,5.25,-20.15,398888,-0.71,67100,Buy,-1,2022-10-03 00:00:00,15,2022-10-11 00:00:00,7
127,ANTGRAPHIC,2002-07-01,2024-10-18,5.08,1.9,-18.53,391761,1.07,392122,Buy,1,2024-09-06 00:00:00,42,2024-10-15 00:00:00,3
128,ANUP,2019-03-01,2024-10-18,5.9,2699.15,20.33,98884,-0.86,57811,Buy,-1,2024-10-01 00:00:00,17,2024-10-16 00:00:00,2
129,ANURAS,2021-03-24,2024-10-18,5.68,726.45,-4.91,75854,-1.69,31791,Buy,1,2024-07-15 00:00:00,95,2024-10-17 00:00:00,1
130,APARINDS,2004-07-12,2024-10-18,5.63,10138.45,1.78,111853,-2.54,102532,Buy,-1,2024-10-08 00:00:00,10,2024-10-15 00:00:00,3
131,APCL,2017-04-10,2024-10-18,5.7,175.04,0.69,22037,-0.93,9956,Buy,-1,2024-06-05 00:00:00,135,2024-10-16 00:00:00,2
132,APCOTEXIND,2002-08-12,2024-10-18,5.18,415.0,-3.41,22699,-1.02,19624,Buy,-1,2024-03-27 00:00:00,205,2024-10-15 00:00:00,3
133,APEX,2017-09-05,2024-10-18,5.74,265.3,2.34,127560,5.68,182993,Buy,1,2024-04-30 00:00:00,171,2024-10-17 00:00:00,1
134,APLAPOLLO,2011-12-14,2024-10-18,5.87,1576.05,8.26,647626,-0.41,372055,Buy,1,2024-09-24 00:00:00,24,2024-10-17 00:00:00,1
135,APLLTD,2011-09-20,2024-10-18,5.96,1160.2,-3.1,280359,-1.59,190849,Buy,-1,2024-09-09 00:00:00,39,2024-10-16 00:00:00,2
136,APOLLO,2018-01-22,2024-10-18,5.89,98.88,-9.31,1322522,-3.31,793629,Sell,-1,2024-10-04 00:00:00,14,2024-10-16 00:00:00,2
137,APOLLOHOSP,2002-07-01,2024-10-18,5.13,6982.9,-0.49,355101,0.16,183635,Sell,-1,2024-10-01 00:00:00,17,2024-10-15 00:00:00,3
138,APOLLOPIPE,2019-11-11,2024-10-18,5.4,547.25,-12.23,46845,-3.6,37702,Buy,-1,2024-09-02 00:00:00,46,2024-10-11 00:00:00,7
139,APOLLOTYRE,2002-01-01,2024-10-18,4.96,505.75,-2.49,2076319,-0.87,1389533,Sell,1,2024-10-01 00:00:00,17,2024-10-17 00:00:00,1
140,APOLSINHOT,2015-02-16,2024-10-18,5.82,1796.4,11.23,14488,-6.17,2647,Buy,-1,2024-09-23 00:00:00,25,2024-10-10 00:00:00,8
141,APTECHT,2002-09-27,2024-10-18,5.15,204.62,-9.57,175986,-4.15,120961,Sell,-1,2024-09-25 00:00:00,23,2024-10-15 00:00:00,3
142,APTUS,2021-08-24,2024-10-18,5.52,374.25,12.03,2191707,4.07,3745626,Buy,-1,2024-06-11 00:00:00,129,2024-10-17 00:00:00,1
143,ARCHIDPLY,2008-07-04,2024-10-18,5.93,124.88,-7.59,27669,-9.45,43499,Buy,-1,2024-04-02 00:00:00,199,2024-10-15 00:00:00,3
144,ARCHIES,2002-08-12,2024-10-18,5.18,28.45,-6.87,364629,-2.83,80811,Buy,-1,2023-12-14 00:00:00,309,2024-10-17 00:00:00,1
145,ARCOTECH,2014-04-16,2024-10-18,5.91,2.2,0.0,0,0.0,0,Sell,1,2024-10-17 00:00:00,1,2021-06-04 00:00:00,1232
146,ARE&M,2023-10-18,2024-10-18,7.31,1342.35,-2.76,677948,-3.55,368259,Buy,-1,2024-06-06 00:00:00,134,2024-10-16 00:00:00,2
147,ARENTERP,2017-11-07,2024-10-18,5.78,45.56,-8.25,2576,0.08,1583,Sell,-1,2024-08-09 00:00:00,70,2024-10-17 00:00:00,1
148,ARIES,2008-01-11,2024-10-18,5.93,257.8,-10.84,73283,0.83,36269,Buy,-1,2024-08-20 00:00:00,59,2024-10-16 00:00:00,2
149,ARIHANT,2023-01-02,2024-10-18,6.35,229.5,27.64,15326,10.67,15885,Buy,1,2024-10-10 00:00:00,8,2024-10-07 00:00:00,11
150,ARIHANTCAP,2021-06-15,2024-10-18,5.44,118.65,5.26,993240,4.42,1456365,Sell,1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
151,ARIHANTSUP,2017-03-29,2024-10-18,5.74,365.85,3.65,154185,-1.68,45499,Sell,-1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
152,ARKADE,2024-09-24,2024-10-18,3.23,152.83,-11.82,6355139,-7.58,3065748,Sell,-1,2024-10-11 00:00:00,7,2024-10-15 00:00:00,3
153,ARMANFIN,2016-06-14,2024-10-18,5.73,1524.25,-15.65,46749,-2.69,41595,Sell,-1,2024-09-24 00:00:00,24,2024-10-16 00:00:00,2
154,AROGRANITE,2007-04-24,2024-10-18,5.84,54.65,-7.43,46864,-3.41,33389,Buy,-1,2024-08-19 00:00:00,60,2024-10-16 00:00:00,2
155,ARROWGREEN,2015-05-21,2024-10-18,5.72,798.85,-9.08,36364,-0.66,21027,Buy,-1,2024-07-23 00:00:00,87,2024-10-15 00:00:00,3
156,ARSHIYA,2009-12-14,2024-10-18,5.82,3.79,-16.58,382025,3.16,447964,Buy,-1,2024-10-09 00:00:00,9,2024-10-17 00:00:00,1
157,ARSSINFRA,2010-03-03,2024-10-18,5.73,18.35,-2.55,13412,-2.19,8284,Buy,1,2024-09-27 00:00:00,21,2024-10-17 00:00:00,1
158,ARTEMISMED,2020-01-24,2024-10-18,7.19,274.05,-4.9,150994,2.07,187508,Sell,-1,2024-10-04 00:00:00,14,2024-10-16 00:00:00,2
159,ARTNIRMAN,2017-03-15,2024-10-18,5.71,60.56,-5.97,2215,-0.54,1023,Sell,1,2024-08-09 00:00:00,70,2024-10-17 00:00:00,1
160,ARVEE,2018-02-22,2024-10-18,5.85,194.88,3.57,2235,0.58,8020,Buy,1,2023-10-06 00:00:00,378,2024-10-17 00:00:00,1
161,ARVIND,2002-07-01,2024-10-18,5.08,360.25,-10.36,379095,0.47,340060,Buy,-1,2024-02-14 00:00:00,247,2024-10-16 00:00:00,2
162,ARVINDFASN,2019-03-08,2024-10-18,5.84,600.55,0.09,820322,-1.07,634354,Sell,-1,2024-02-09 00:00:00,252,2024-10-15 00:00:00,3
163,ARVSMART,2015-08-26,2024-10-18,5.9,833.35,16.22,208477,-2.97,62973,Buy,-1,2024-09-23 00:00:00,25,2024-10-16 00:00:00,2
164,ASAHIINDIA,2002-07-01,2024-10-18,5.09,713.95,5.06,913147,-4.17,139944,Buy,1,2024-04-04 00:00:00,197,2024-10-17 00:00:00,1
