symbol,exchange,latest_date,closing_price,last_action,last_action_date,current_principle,current_quantity,current_buy_price_avg,total_PL,unrealized_PL,user_name
RAMCOIND,NSE,2024-10-11 00:00:00,231.64,Sell,2024-09-23 00:00:00,0.0,0.0,0.0,7431.8,0.0,Akshay
RAMRAT,NSE,2024-10-11 00:00:00,731.55,Buy,2024-04-26 00:00:00,56910.0,200.0,284.55,0,89400.0,Akshay
RPGLIFE,NSE,2024-10-11 00:00:00,2806.9,Buy,2024-04-26 00:00:00,86846.2,119.0,729.8,0,247174.89,Akshay
SAIL,NSE,2024-10-11 00:00:00,134.03,Sell,2024-08-01 00:00:00,0.0,0.0,0.0,15761.86,0.0,Akshay
SATIA,NSE,2024-10-11 00:00:00,113.05,Sell,2024-08-26 00:00:00,0.0,0.0,0.0,-1902.37,0.0,Akshay
STEELCAS,NSE,2024-10-11 00:00:00,761.2,Buy,2024-04-26 00:00:00,78878.88,114.0,691.92,0,7897.92,Akshay
SUPRIYA,NSE,2024-10-11 00:00:00,564.8,Buy,2024-04-26 00:00:00,65795.25,185.0,355.65,0,38692.75,Akshay
UGROCAP,NSE,2024-10-11 00:00:00,249.35,Buy,2024-04-26 00:00:00,59494.0,197.0,302.0,0,-10372.05,Akshay
UTIAMC,NSE,2024-10-11 00:00:00,1213.75,Buy,2024-06-18 00:00:00,113889.96,118.0,965.17,0,29332.54,Akshay
GLOBUSSPR,NSE,2024-10-11 00:00:00,1109.6,Buy,2024-04-26 00:00:00,139279.0,105.0,1326.47,0,-22771.0,Akshay
HCLTECH,NSE,2024-10-11 00:00:00,1839.65,Sell,2024-06-14 00:00:00,0.0,0.0,0.0,22759.0,0.0,Akshay
SPORTKING,NSE,2024-10-11 00:00:00,117.73,Split,2024-09-13 00:00:00,154530.0,1020.0,151.5,16593.8,-34445.4,Akshay
SRF,NSE,2024-10-11 00:00:00,2348.75,Buy,2024-04-26 00:00:00,84483.0,32.0,2640.09,0,-9323.0,Akshay
SOLARA,NSE,2024-10-11 00:00:00,750.1,Buy,2024-08-07 00:00:00,62994.0,119.0,529.36,0,26267.9,Akshay
SOLARA-RE,N/A,1900-01-01,0.0,N/A,1900-01-01,0.0,0.0,0.0,0.0,0.0,Akshay
ORIENTCEM,NSE,2024-10-11 00:00:00,295.75,Buy,2024-07-01 00:00:00,0.0,0.0,0.0,8250.0,0.0,Akshay
PETRONET,NSE,2024-10-11 00:00:00,355.15,Sell,2024-07-25 00:00:00,0.0,0.0,0.0,2940.0,0.0,Akshay
PRIVISCL,NSE,2024-10-11 00:00:00,1609.25,Sell,2024-07-25 00:00:00,0.0,0.0,0.0,5527.98,0.0,Akshay
ROUTE,NSE,2024-10-11 00:00:00,1563.15,Buy,2024-07-09 00:00:00,98450.0,55.0,1790.0,0,-12476.75,Akshay
ONGC,NSE,2024-10-11 00:00:00,292.55,Buy,2024-07-26 00:00:00,134486.94,399.0,337.06,0,-17759.49,Akshay
TI,NSE,2024-10-11 00:00:00,305.6,Buy,2024-08-09 00:00:00,77586.65,319.0,243.22,0,19899.75,Akshay
WPIL,N/A,1900-01-01,0.0,N/A,1900-01-01,0.0,0.0,0.0,0.0,0.0,Akshay
GEEKAYWIRE,NSE,2024-10-11 00:00:00,111.75,Buy,2024-09-06 00:00:00,62582.65,538.0,116.32,0,-2461.15,Akshay
PAYTM,NSE,2024-10-11 00:00:00,724.5,Buy,2024-09-02 00:00:00,97056.0,160.0,606.6,0,18864.0,Akshay
RAYMONDLSL,NSE,2024-10-11 00:00:00,2137.65,Buy,2024-09-23 00:00:00,69207.05,29.0,2386.45,0,-7215.2,Akshay
CEIGALL,NSE,2024-10-11 00:00:00,379.85,Buy,2024-09-23 00:00:00,47037.1,122.0,385.55,0,-695.4,Akshay
BRIGADE,NSE,2024-10-11 00:00:00,1294.75,Buy,2024-10-10 00:00:00,80764.35,60.0,1346.07,0,-3079.35,Akshay
SALZERELEC,NSE,2024-10-11 00:00:00,1115.65,Buy,2024-10-09 00:00:00,70356.0,66.0,1066.0,0,3276.9,Akshay
