symbol,exchange,latest_date,closing_price,last_action,last_action_date,current_principle,current_quantity,current_buy_price_avg,total_PL,unrealized_PL,user_name
NH,BSE,2024-10-11 00:00:00,1220.5,Buy,2024-09-11 00:00:00,79266.5,59.0,1343.5,24214.14,-7257.0,Akshay
PIIND,BSE,2024-10-11 00:00:00,4523.25,Buy,2024-04-26 00:00:00,79231.74,21.0,3772.94,0,15756.51,Akshay
RAIN,BSE,2024-10-11 00:00:00,172.85,Buy,2024-04-26 00:00:00,35601.93,147.0,242.19,0,-10192.98,Akshay
RAMCOIND,BSE,2024-10-11 00:00:00,231.4,Sell,2024-09-23 00:00:00,0.0,0.0,0.0,7431.8,0.0,Akshay
RAMRAT,BSE,2024-10-11 00:00:00,732.0,Buy,2024-04-26 00:00:00,56910.0,200.0,284.55,0,89490.0,Akshay
RPGLIFE,BSE,2024-10-11 00:00:00,2804.4,Buy,2024-04-26 00:00:00,86846.2,119.0,729.8,0,246877.39,Akshay
SAIL,BSE,2024-10-11 00:00:00,134.1,Sell,2024-08-01 00:00:00,0.0,0.0,0.0,15761.86,0.0,Akshay
SATIA,BSE,2024-10-11 00:00:00,112.9,Sell,2024-08-26 00:00:00,0.0,0.0,0.0,-1902.37,0.0,Akshay
STEELCAS,BSE,2024-10-11 00:00:00,760.95,Buy,2024-04-26 00:00:00,78878.88,114.0,691.92,0,7869.42,Akshay
SUPRIYA,BSE,2024-10-11 00:00:00,564.85,Buy,2024-04-26 00:00:00,65795.25,185.0,355.65,0,38702.0,Akshay
UGROCAP,BSE,2024-10-11 00:00:00,249.7,Buy,2024-04-26 00:00:00,59494.0,197.0,302.0,0,-10303.1,Akshay
UTIAMC,BSE,2024-10-11 00:00:00,1212.85,Buy,2024-06-18 00:00:00,113889.96,118.0,965.17,0,29226.34,Akshay
GLOBUSSPR,BSE,2024-10-11 00:00:00,1109.6,Buy,2024-04-26 00:00:00,139279.0,105.0,1326.47,0,-22771.0,Akshay
HCLTECH,BSE,2024-10-11 00:00:00,1839.55,Sell,2024-06-14 00:00:00,0.0,0.0,0.0,22759.0,0.0,Akshay
SPORTKING,BSE,2024-10-11 00:00:00,117.9,Split,2024-09-13 00:00:00,154530.0,1020.0,151.5,16593.8,-34272.0,Akshay
SRF,BSE,2024-10-11 00:00:00,2347.7,Buy,2024-04-26 00:00:00,84483.0,32.0,2640.09,0,-9356.6,Akshay
SOLARA,BSE,2024-10-11 00:00:00,748.9,Buy,2024-08-07 00:00:00,62994.0,119.0,529.36,0,26125.1,Akshay
SOLARA-RE,N/A,1900-01-01,0.0,N/A,1900-01-01,0.0,0.0,0.0,0.0,0.0,Akshay
ORIENTCEM,BSE,2024-10-11 00:00:00,295.8,Buy,2024-07-01 00:00:00,0.0,0.0,0.0,8250.0,0.0,Akshay
PETRONET,BSE,2024-10-11 00:00:00,355.1,Sell,2024-07-25 00:00:00,0.0,0.0,0.0,2940.0,0.0,Akshay
PRIVISCL,BSE,2024-10-11 00:00:00,1610.4,Sell,2024-07-25 00:00:00,0.0,0.0,0.0,5527.98,0.0,Akshay
ROUTE,BSE,2024-10-11 00:00:00,1563.6,Buy,2024-07-09 00:00:00,98450.0,55.0,1790.0,0,-12452.0,Akshay
ONGC,BSE,2024-10-11 00:00:00,292.5,Buy,2024-07-26 00:00:00,134486.94,399.0,337.06,0,-17779.44,Akshay
TI,BSE,2024-10-11 00:00:00,305.65,Buy,2024-08-09 00:00:00,77586.65,319.0,243.22,0,19915.7,Akshay
WPIL,BSE,2024-10-11 00:00:00,453.75,Buy,2024-10-10 00:00:00,100786.6,214.0,470.97,0,-3684.1,Akshay
GEEKAYWIRE,N/A,1900-01-01,0.0,N/A,1900-01-01,0.0,0.0,0.0,0.0,0.0,Akshay
PAYTM,BSE,2024-10-11 00:00:00,724.15,Buy,2024-09-02 00:00:00,97056.0,160.0,606.6,0,18808.0,Akshay
RAYMONDLSL,BSE,2024-10-11 00:00:00,2137.8,Buy,2024-09-23 00:00:00,69207.05,29.0,2386.45,0,-7210.85,Akshay
CEIGALL,BSE,2024-10-11 00:00:00,379.95,Buy,2024-09-23 00:00:00,47037.1,122.0,385.55,0,-683.2,Akshay
BRIGADE,BSE,2024-10-11 00:00:00,1294.85,Buy,2024-10-10 00:00:00,80764.35,60.0,1346.07,0,-3073.35,Akshay
SALZERELEC,BSE,2024-10-11 00:00:00,1114.45,Buy,2024-10-09 00:00:00,70356.0,66.0,1066.0,0,3197.7,Akshay
